#  ABSOLUTE_lo   ABSOLUTE_up    FLAVOUR_lo    FLAVOUR_up  High_PT_EXTR_lo  High_PT_EXTR_up  PileUpBias_lo  PileUpBias_up  PileUpDataMC_lo  PileUpDataMC_up  PileUpJetRate_lo  PileUpJetRate_up  PileUpOOT_lo  PileUpOOT_up   PileUpPt_lo   PileUpPt_up  RelativeFSR_lo  RelativeFSR_up  RelativeJERC1_lo  RelativeJERC1_up  RelativeJERC2_lo  RelativeJERC2_up  RelativeJERCHF_lo  RelativeJERCHF_up  RelativeStatEC2_lo  RelativeStatEC2_up  RelativeStatHF_lo  RelativeStatHF_up  SINGLE_PION_0005  SINGLE_PION_0510  SINGLE_PION_1015  SINGLE_PION_BAR  SINGLE_PION_END       TIME_lo       TIME_up         ewcor       lumierr         npcor      npcorerr         pt_lo         pt_up       stat_lo       stat_up         uncor    unf_err_lo    unf_err_up            xs          y_lo          y_up
              -0.028                0.027               -0.022                0.021               -0.017                0.017                0.011               -0.011                    0                   -0               -0.019                0.019               -0.006                0.005               -0.024                0.024               -0.001                    0                   -0                   -0                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0                    0               1.2134                    0               1.2134                    0                   -0                   -0              0.99879                0.022               1.0566               6.4019                  174                  196               -0.009                0.009                 0.01               -0.029                0.024                  286                  0.5                    1
              -0.028                0.028                -0.02                 0.02               -0.018                0.018                 0.01                -0.01                    0                   -0               -0.018                0.018               -0.005                0.005               -0.022                0.022               -0.001                    0                   -0                   -0                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0                    0              0.72266                    0              0.72266                    0                   -0                   -0              0.99854                0.022               1.0481               2.9123                  196                  220               -0.011                0.011                 0.01               -0.024                0.027                  146                  0.5                    1
              -0.029                0.028               -0.019                0.019               -0.019                0.019                0.009               -0.009                    0                   -0               -0.017                0.017               -0.005                0.004                -0.02                 0.02               -0.001                0.001                   -0                   -0                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0                    0              0.43032                    0              0.43032                    0                   -0                   -0              0.99846                0.022               1.0411               1.3593                  220                  245               -0.012                0.012                 0.01               -0.023                0.024                76.07                  0.5                    1
              -0.029                0.029               -0.017                0.017                -0.02                 0.02                0.008               -0.008                    0                   -0               -0.016                0.016               -0.004                0.004               -0.018                0.018               -0.001                0.001                   -0                   -0                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0                    0               0.2724                    0               0.2724                    0                   -0                   -0              0.99837                0.022               1.0352               0.6409                  245                  272               -0.014                0.014                 0.01               -0.025                0.023                40.55                  0.5                    1
               -0.03                 0.03               -0.016                0.016               -0.021                0.021                0.008               -0.008                    0                   -0               -0.015                0.015               -0.004                0.004               -0.017                0.017               -0.001                0.001                   -0                   -0                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0                    0              0.17283                    0              0.17283                    0                   -0                   -0              0.99833                0.022               1.0306              0.31927                  272                  300               -0.016                0.016                 0.01               -0.024                0.022                22.22                  0.5                    1
               -0.03                0.031               -0.016                0.016               -0.022                0.022                0.007               -0.007                    0                   -0               -0.014                0.014               -0.004                0.003               -0.015                0.016               -0.001                0.001                   -0                   -0                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0                    0              0.10539                    0              0.10539                    0                   -0                   -0              0.99833                0.022               1.0269              0.16323                  300                  330               -0.008                0.008                 0.01               -0.023                0.022                12.42                  0.5                    1
              -0.031                0.031               -0.015                0.015               -0.024                0.023                0.006               -0.006                    0                   -0               -0.014                0.014               -0.003                0.003               -0.014                0.014               -0.001                0.001                   -0                   -0                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0                    0              0.06896                    0              0.06896                    0                   -0                   -0              0.99852                0.022               1.0233             0.081541                  330                  362               -0.008                0.008                 0.01               -0.024                0.022                6.966                  0.5                    1
              -0.032                0.032               -0.014                0.014               -0.025                0.025                0.006               -0.006                    0                   -0               -0.013                0.013               -0.003                0.003               -0.013                0.013               -0.001                0.001                   -0                   -0                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0                    0             0.041811                    0             0.041811                    0                   -0                   -0              0.99866                0.022               1.0204             0.041716                  362                  395               -0.006                0.006                 0.01               -0.023                0.023                3.942                  0.5                    1
              -0.032                0.033               -0.014                0.014               -0.026                0.026                0.006               -0.005                    0                   -0               -0.012                0.013               -0.003                0.003               -0.012                0.013               -0.001                0.001                   -0                   -0                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0                    0             0.027275                    0             0.027275                    0                   -0                   -0              0.99905                0.022               1.0182             0.022263                  395                  430               -0.007                0.007                 0.01               -0.023                0.023                2.269                  0.5                    1
              -0.033                0.034               -0.014                0.014               -0.028                0.027                0.005               -0.005                    0                   -0               -0.012                0.012               -0.003                0.003               -0.012                0.012               -0.001                0.001                   -0                   -0                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0                    0             0.017506                    0             0.017506                    0                   -0                   -0              0.99953                0.022               1.0161             0.011648                  430                  468               -0.008                0.008                 0.01               -0.023                0.022                1.303                  0.5                    1
