pt_mi        ymin  ymax  NP_Pythia     NP_Herwig++   NP_Powheg     Powheg_stat   TOT_NP        TOT_NP_stat   PS            PS_stat       NPxPS         NPxPS_stat
315.000000   0.5   1     1.034000e+00  1.040000e+00  1.013714e+00  4.133218e-03  1.026857e+00  1.314282e-02  1.000064e+00  5.000320e-01  1.026923e+00  5.136296e-01
346.000000   0.5   1     1.031000e+00  1.035000e+00  1.011589e+00  4.137099e-03  1.023294e+00  1.170552e-02  9.979321e-01  4.989661e-01  1.021178e+00  5.107228e-01
378.500000   0.5   1     1.028000e+00  1.031000e+00  1.009835e+00  4.143385e-03  1.020417e+00  1.058257e-02  9.960782e-01  4.980391e-01  1.016416e+00  5.083171e-01
412.500000   0.5   1     1.025000e+00  1.028000e+00  1.008376e+00  4.151072e-03  1.018188e+00  9.811997e-03  9.944553e-01  4.972277e-01  1.012542e+00  5.063652e-01
449.000000   0.5   1     1.023000e+00  1.025000e+00  1.007122e+00  4.159727e-03  1.016061e+00  8.939028e-03  9.929890e-01  4.964945e-01  1.008937e+00  5.045468e-01
487.500000   0.5   1     1.021000e+00  1.023000e+00  1.006058e+00  4.168772e-03  1.014529e+00  8.471012e-03  9.916814e-01  4.958407e-01  1.006090e+00  5.031149e-01
527.500000   0.5   1     1.019000e+00  1.020000e+00  1.005162e+00  4.177771e-03  1.012581e+00  7.418871e-03  9.905252e-01  4.952626e-01  1.002987e+00  5.015474e-01
570.000000   0.5   1     1.017000e+00  1.019000e+00  1.004386e+00  4.186732e-03  1.011693e+00  7.307172e-03  9.894741e-01  4.947371e-01  1.001044e+00  5.005742e-01
615.000000   0.5   1     1.016000e+00  1.017000e+00  1.003713e+00  4.195489e-03  1.010356e+00  6.643772e-03  9.885186e-01  4.942593e-01  9.987559e-01  4.994211e-01
662.000000   0.5   1     1.015000e+00  1.015000e+00  1.003134e+00  4.203844e-03  1.009067e+00  5.932927e-03  9.876579e-01  4.938290e-01  9.966131e-01  4.983410e-01
711.500000   0.5   1     1.014000e+00  1.014000e+00  1.002630e+00  4.211824e-03  1.008315e+00  5.684972e-03  9.868728e-01  4.934364e-01  9.950787e-01  4.975710e-01
763.500000   0.5   1     1.013000e+00  1.013000e+00  1.002191e+00  4.219384e-03  1.007595e+00  5.404711e-03  9.861559e-01  4.930780e-01  9.936461e-01  4.968516e-01
818.000000   0.5   1     1.012000e+00  1.012000e+00  1.001806e+00  4.226504e-03  1.006903e+00  5.096793e-03  9.855005e-01  4.927502e-01  9.923036e-01  4.961772e-01
875.500000   0.5   1     1.011000e+00  1.011000e+00  1.001467e+00  4.233233e-03  1.006234e+00  4.766345e-03  9.848954e-01  4.924477e-01  9.910349e-01  4.955397e-01
936.000000   0.5   1     1.010000e+00  1.010000e+00  1.001168e+00  4.239559e-03  1.005584e+00  4.415989e-03  9.843370e-01  4.921685e-01  9.898335e-01  4.949358e-01
999.500000   0.5   1     1.009000e+00  1.009000e+00  1.000904e+00  4.245480e-03  1.004952e+00  4.048109e-03  9.838215e-01  4.919107e-01  9.886932e-01  4.943626e-01
1066.500000  0.5   1     1.008000e+00  1.009000e+00  1.000668e+00  4.251045e-03  1.004834e+00  4.165769e-03  9.833420e-01  4.916710e-01  9.880956e-01  4.940648e-01
1136.500000  0.5   1     1.008000e+00  1.008000e+00  1.000461e+00  4.256219e-03  1.004230e+00  3.769755e-03  9.828994e-01  4.914497e-01  9.870573e-01  4.935426e-01
1210.000000  0.5   1     1.007000e+00  1.008000e+00  1.000275e+00  4.261050e-03  1.004138e+00  3.862381e-03  9.824876e-01  4.912438e-01  9.865528e-01  4.932910e-01
1287.500000  0.5   1     1.007000e+00  1.007000e+00  1.000109e+00  4.265579e-03  1.003555e+00  3.445387e-03  9.821024e-01  4.910512e-01  9.855934e-01  4.928083e-01
1368.500000  0.5   1     1.006000e+00  1.007000e+00  9.999614e-01  4.269785e-03  1.003481e+00  3.519297e-03  9.817444e-01  4.908722e-01  9.851615e-01  4.925929e-01
1597.000000  0.5   1     1.005000e+00  1.006000e+00  9.996461e-01  4.279391e-03  1.002823e+00  3.176928e-03  9.809216e-01  4.904608e-01  9.836909e-01  4.918553e-01
123.500000   1     1.5   1.090000e+00  1.132000e+00  1.052372e+00  6.205449e-03  1.092186e+00  3.981376e-02  1.027976e+00  5.139881e-01  1.122741e+00  5.628607e-01
143.000000   1     1.5   1.077000e+00  1.109000e+00  1.040661e+00  5.773581e-03  1.074831e+00  3.416920e-02  1.020245e+00  5.101223e-01  1.096590e+00  5.494022e-01
163.500000   1     1.5   1.066000e+00  1.091000e+00  1.032310e+00  5.516576e-03  1.061655e+00  2.934515e-02  1.013440e+00  5.067199e-01  1.075923e+00  5.387830e-01
185.000000   1     1.5   1.058000e+00  1.078000e+00  1.026175e+00  5.362148e-03  1.052087e+00  2.591252e-02  1.007374e+00  5.036869e-01  1.059845e+00  5.305652e-01
208.000000   1     1.5   1.050000e+00  1.067000e+00  1.021470e+00  5.268322e-03  1.044235e+00  2.276516e-02  1.001797e+00  5.008985e-01  1.046111e+00  5.235527e-01
232.500000   1     1.5   1.044000e+00  1.057000e+00  1.017815e+00  5.213597e-03  1.037408e+00  1.959240e-02  9.966506e-01  4.983253e-01  1.033933e+00  5.173351e-01
258.500000   1     1.5   1.039000e+00  1.050000e+00  1.014943e+00  5.184156e-03  1.032472e+00  1.752830e-02  9.918838e-01  4.959419e-01  1.024092e+00  5.123410e-01
286.000000   1     1.5   1.035000e+00  1.044000e+00  1.012662e+00  5.171035e-03  1.028331e+00  1.566923e-02  9.874536e-01  4.937268e-01  1.015429e+00  5.079502e-01
315.000000   1     1.5   1.031000e+00  1.039000e+00  1.010831e+00  5.168371e-03  1.024915e+00  1.408458e-02  9.833229e-01  4.916615e-01  1.007823e+00  5.041017e-01
346.000000   1     1.5   1.028000e+00  1.034000e+00  1.009326e+00  5.172404e-03  1.021663e+00  1.233685e-02  9.794003e-01  4.897002e-01  1.000617e+00  5.004545e-01
378.500000   1     1.5   1.025000e+00  1.030000e+00  1.008103e+00  5.180568e-03  1.019051e+00  1.094866e-02  9.757304e-01  4.878652e-01  9.943194e-01  4.972745e-01
412.500000   1     1.5   1.023000e+00  1.027000e+00  1.007098e+00  5.191102e-03  1.017049e+00  9.950876e-03  9.722868e-01  4.861434e-01  9.888634e-01  4.945264e-01
449.000000   1     1.5   1.021000e+00  1.024000e+00  1.006247e+00  5.203191e-03  1.015123e+00  8.876681e-03  9.689600e-01  4.844800e-01  9.836139e-01  4.918822e-01
487.500000   1     1.5   1.019000e+00  1.022000e+00  1.005534e+00  5.215901e-03  1.013767e+00  8.233190e-03  9.657941e-01  4.828970e-01  9.790900e-01  4.896095e-01
527.500000   1     1.5   1.017000e+00  1.020000e+00  1.004941e+00  5.228547e-03  1.012470e+00  7.529736e-03  9.628150e-01  4.814075e-01  9.748216e-01  4.874647e-01
